"com.jerry.spottimett - Android-versio: Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-04-25"
,,Muuttuja,"Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
Kausi,Päivämäärä
2019-07-08 - 2020-04-25,2020-01-23,,-,Julkaisun käyttöönotto - 5.5 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-01-24,,2
2019-07-08 - 2020-04-25,2020-01-25,,7
2019-07-08 - 2020-04-25,2020-01-26,,2
2019-07-08 - 2020-04-25,2020-01-27,,-
2019-07-08 - 2020-04-25,2020-01-28,,3
2019-07-08 - 2020-04-25,2020-01-29,,2
2019-07-08 - 2020-04-25,2020-01-30,,1,Julkaisun käyttöönotto - 5.6 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-01-31,,2
2019-07-08 - 2020-04-25,2020-02-01,,-
2019-07-08 - 2020-04-25,2020-02-02,,4
2019-07-08 - 2020-04-25,2020-02-03,,2
2019-07-08 - 2020-04-25,2020-02-04,,2
2019-07-08 - 2020-04-25,2020-02-05,,2
2019-07-08 - 2020-04-25,2020-02-06,,-
2019-07-08 - 2020-04-25,2020-02-07,,1
2019-07-08 - 2020-04-25,2020-02-08,,-
2019-07-08 - 2020-04-25,2020-02-09,,8
2019-07-08 - 2020-04-25,2020-02-10,,4
2019-07-08 - 2020-04-25,2020-02-11,,3
2019-07-08 - 2020-04-25,2020-02-12,,1
2019-07-08 - 2020-04-25,2020-02-13,,1
2019-07-08 - 2020-04-25,2020-02-14,,-
2019-07-08 - 2020-04-25,2020-02-15,,-
2019-07-08 - 2020-04-25,2020-02-16,,3
2019-07-08 - 2020-04-25,2020-02-17,,3
2019-07-08 - 2020-04-25,2020-02-18,,2
2019-07-08 - 2020-04-25,2020-02-19,,2
2019-07-08 - 2020-04-25,2020-02-20,,5
2019-07-08 - 2020-04-25,2020-02-21,,3
2019-07-08 - 2020-04-25,2020-02-22,,1
2019-07-08 - 2020-04-25,2020-02-23,,5
2019-07-08 - 2020-04-25,2020-02-24,,2
2019-07-08 - 2020-04-25,2020-02-25,,5
2019-07-08 - 2020-04-25,2020-02-26,,2
2019-07-08 - 2020-04-25,2020-02-27,,5
2019-07-08 - 2020-04-25,2020-02-28,,2
2019-07-08 - 2020-04-25,2020-02-29,,1,Julkaisun käyttöönotto - 5.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-03-01,,2
2019-07-08 - 2020-04-25,2020-03-02,,4
2019-07-08 - 2020-04-25,2020-03-03,,3
2019-07-08 - 2020-04-25,2020-03-04,,2
2019-07-08 - 2020-04-25,2020-03-05,,-
2019-07-08 - 2020-04-25,2020-03-06,,3
2019-07-08 - 2020-04-25,2020-03-07,,4
2019-07-08 - 2020-04-25,2020-03-08,,6
2019-07-08 - 2020-04-25,2020-03-09,,3
2019-07-08 - 2020-04-25,2020-03-10,,4
2019-07-08 - 2020-04-25,2020-03-11,,-
2019-07-08 - 2020-04-25,2020-03-12,,3
2019-07-08 - 2020-04-25,2020-03-13,,-
2019-07-08 - 2020-04-25,2020-03-14,,3
2019-07-08 - 2020-04-25,2020-03-15,,5
2019-07-08 - 2020-04-25,2020-03-16,,6
2019-07-08 - 2020-04-25,2020-03-17,,4
2019-07-08 - 2020-04-25,2020-03-18,,1
2019-07-08 - 2020-04-25,2020-03-19,,8
2019-07-08 - 2020-04-25,2020-03-20,,5
2019-07-08 - 2020-04-25,2020-03-21,,4
2019-07-08 - 2020-04-25,2020-03-22,,11
2019-07-08 - 2020-04-25,2020-03-23,,8
2019-07-08 - 2020-04-25,2020-03-24,,11
2019-07-08 - 2020-04-25,2020-03-25,,6
2019-07-08 - 2020-04-25,2020-03-26,,3
2019-07-08 - 2020-04-25,2020-03-27,,3
2019-07-08 - 2020-04-25,2020-03-28,,11
2019-07-08 - 2020-04-25,2020-03-29,,7
2019-07-08 - 2020-04-25,2020-03-30,,3
2019-07-08 - 2020-04-25,2020-03-31,,5
2019-07-08 - 2020-04-25,2020-04-01,,12
2019-07-08 - 2020-04-25,2020-04-02,,19
2019-07-08 - 2020-04-25,2020-04-03,,9
2019-07-08 - 2020-04-25,2020-04-04,,5
2019-07-08 - 2020-04-25,2020-04-05,,13
2019-07-08 - 2020-04-25,2020-04-06,,10
2019-07-08 - 2020-04-25,2020-04-07,,13
2019-07-08 - 2020-04-25,2020-04-08,,14
2019-07-08 - 2020-04-25,2020-04-09,,10,Julkaisun käyttöönotto - 5.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2020-04-10,,12
2019-07-08 - 2020-04-25,2020-04-11,,31
2019-07-08 - 2020-04-25,2020-04-12,,13
2019-07-08 - 2020-04-25,2020-04-13,,23
2019-07-08 - 2020-04-25,2020-04-14,,11
2019-07-08 - 2020-04-25,2020-04-15,,9
2019-07-08 - 2020-04-25,2020-04-16,,7
2019-07-08 - 2020-04-25,2020-04-17,,15
2019-07-08 - 2020-04-25,2020-04-18,,10
2019-07-08 - 2020-04-25,2020-04-19,,15
2019-07-08 - 2020-04-25,2020-04-20,,13
2019-07-08 - 2020-04-25,2020-04-21,,14
2019-07-08 - 2020-04-25,2020-04-22,,8
2019-07-08 - 2020-04-25,2020-04-23,,10
2019-07-08 - 2020-04-25,2020-04-24,,12
2019-07-08 - 2020-04-25,2020-04-25,,-
